label,statement,target,clean_text
true,Says an amendment specifying when military members may use deadly force does nothing to change existing rules of engagement for American service members.,true,says amendment specifying military members may use deadly force nothing change existing rules engagement american service members
true,Sometimes I was the only no vote on the entire board.,true,sometimes vote entire board
pants-fire,"Monica Wehby and Jason Conger are causing devastating consequences for nearly 23,000 Oregonians looking for work.",pants-fire,monica wehby jason conger causing devastating consequences nearly oregonians looking work
pants-fire,"After the U.S.-led military alliance ejected Saddam Husseins forces from Kuwait in 1991, the Kuwaitis never paid us.",pants-fire,usled military alliance ejected saddam husseins forces kuwait kuwaitis never paid us
half-true,The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.,half-true,total state payroll gone total amount number workers state gone like fact bulk retirements
barely-true,Says the estate tax is a threat to family farms.,barely-true,says estate tax threat family farms
false,We can fix our roads without raising taxes.,false,fix roads without raising taxes
pants-fire,Says Michelle Obama waved red communist flags on her trip to China.,pants-fire,says michelle obama waved red communist flags trip china
mostly-true,Only 14 percent of Catholics agree with the Vaticans position that abortion should be illegal.,mostly-true,percent catholics agree vaticans position abortion illegal
barely-true,Says Donald Trump is against minimum wage.,barely-true,says donald trump minimum wage
barely-true,Less than 1 percent of 1 percent of the American population has given an amount over $200 to a federal political campaign.,barely-true,less percent percent american population given amount federal political campaign
false,Obama couldn't have afforded his home without Rezko's help.,false,obama couldnt afforded home without rezkos help
true,Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day.,true,obama skips condemning leftwing attacks gen petraeus despite casting important votes earlier later day
half-true,Americas least-trusted news sources are also its most popular.,half-true,americas leasttrusted news sources also popular
half-true,"Among the nations 51 largest metropolitan areas, Milwaukee is the only one where the poverty rate is more than four times greater in the city than it is in the suburbs.",half-true,among nations largest metropolitan areas milwaukee one poverty rate four times greater city suburbs
barely-true,Only three in 10 Texas doctors are currently accepting new Medicaid patients.,barely-true,three texas doctors currently accepting new medicaid patients
half-true,"Obama's first call (as president) to any head of state was to Mahmoud Abbas, leader of Fatah party in the Palestinian territory.",half-true,obamas first call president head state mahmoud abbas leader fatah party palestinian territory
false,"The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.",false,clintons charge secret service monthly rent use secret service residence rent equal mortgage payment
false,Says an appointed board created under Obamacare will have the ability to come between you and your doctor in determining the best treatment options for you!,false,says appointed board created obamacare ability come doctor determining best treatment options
barely-true,"Says that over the past 20 years, Texas public school spending rose 142 percent and per-pupil spending more than tripled when adjusted for inflation.",barely-true,says past years texas public school spending rose percent perpupil spending tripled adjusted inflation
false,David Cicilline is the 5th most liberal person in the House of Representatives.,false,david cicilline th liberal person house representatives
mostly-true,"Says U.S. Senate Democrats have gone without any budget at all for more than 1,000 days.",mostly-true,says us senate democrats gone without budget days
barely-true,"Saysthe State Department has had half a year to respond to a Benghazi document request, yet I have not gotten a single, solitary scrap of paper.",barely-true,saysthe state department half year respond benghazi document request yet gotten single solitary scrap paper
barely-true,"Republican leaders said ""no"" to ""tax cuts for 95% of working Americans.""",barely-true,republican leaders said tax cuts working americans
barely-true,We confer more PhDs each year than any other university in America except Berkeley.,barely-true,confer phds year university america except berkeley
half-true,The Obama administration raised discretionary spending by 24 percent from President George W. Bushs last full-year budget and will run up more debt by October than Bush did in eight years.,half-true,obama administration raised discretionary spending percent president george w bushs last fullyear budget run debt october bush eight years
half-true,"200,000 students attempt suicide every year on college campuses.",half-true,students attempt suicide every year college campuses
mostly-true,"For the first time in eight years, our budget also increases funding for persons with disabilities by $36 million to help more disabled people receive community-based services.",mostly-true,first time eight years budget also increases funding persons disabilities million help disabled people receive communitybased services
barely-true,Taking all the money of the top 1 percent wouldnt keep Medicare going for three years.,barely-true,taking money top percent wouldnt keep medicare going three years
mostly-true,The majority of (the American people) voted for a Democratic House.,mostly-true,majority american people voted democratic house
true,We have the highest corporate tax rate in the world. Its 35 percent.,true,highest corporate tax rate world percent
half-true,Newt balanced the federal budget.,half-true,newt balanced federal budget
mostly-true,"Says Donald Trump was forced to file for bankruptcy not once, not twice, four times.",mostly-true,says donald trump forced file bankruptcy twice four times
true,"Says that in his first 17 months as president, the United States doubled its world-leading $500 million a year commitment to fighting global AIDS.",true,says first months president united states doubled worldleading million year commitment fighting global aids
half-true,The cost of fire in Rhode Island is anywhere from 33 percent to 100 percent more expensive than anywhere else we could find.,half-true,cost fire rhode island anywhere percent percent expensive anywhere else could find
barely-true,Iranian mullahs took American hostages and they held the American hostages for 444 days. ...The one hour in which they released them was the one hour in which Ronald Reagan was taking the Oath of Office ,barely-true,iranian mullahs took american hostages held american hostages days one hour released one hour ronald reagan taking oath office
barely-true,Mayor White has major stake in Barnett Shale production company.,barely-true,mayor white major stake barnett shale production company
barely-true,"Rep. Jim Renaccis plan to end Medicare also puts nursing home care for 3,000 seniors in the district in immediate jeopardy.",barely-true,rep jim renaccis plan end medicare also puts nursing home care seniors district immediate jeopardy
true,"When we passed (the stand your ground law), we said it portends horrific events when peoples lives were put into these situations.",true,passed stand ground law said portends horrific events peoples lives put situations
mostly-true,The federal government has made investments in science and technology inventing the products that led to the creation of Google.,mostly-true,federal government made investments science technology inventing products led creation google
true,Weve seen more anti-womens choice bills introduced in the first half of this session than weve seen in the last three General Assemblies.,true,weve seen antiwomens choice bills introduced first half session weve seen last three general assemblies
half-true,"Says his administration put more border patrol agents on the U.S.-Mexico border than at any time in history, and the flow of undocumented workers across the border is actually lower than its been in 40 years.",half-true,says administration put border patrol agents usmexico border time history flow undocumented workers across border actually lower years
barely-true,"On Syria, alot of the allies signed on. At the last minute, Obama backed off.",barely-true,syria alot allies signed last minute obama backed
true,"Already this calendar year, since January 1, we have had more than 20,000 people come across the border, apprehended, unauthorized.",true,already calendar year since january people come across border apprehended unauthorized
true,Jim Renacci tried to avoid paying taxes on nearly $14 million that he made.,true,jim renacci tried avoid paying taxes nearly million made
true,"Barack Obama accepted $200,000 from executives and employees of oil companies.",true,barack obama accepted executives employees oil companies
false,"In an interview with the Chicago TribunesEditorial Board, Comptroller Leslie Munger says that in order to balance a budget, the state would have to cut social services completely.",false,interview chicago tribuneseditorial board comptroller leslie munger says order balance budget state would cut social services completely
pants-fire,"Iowa, for good reason, for constitutional reasons, for reasons related to the Lord, should be the first caucus and primary.",pants-fire,iowa good reason constitutional reasons reasons related lord first caucus primary
true,The unemployment rate among blacks in Texas is 9.5% -- far more than double white unemployment -- and wages have fallen for black workers in Texas since 2000.,true,unemployment rate among blacks texas far double white unemployment wages fallen black workers texas since
barely-true,Obamacare could cause 20 million people to lose their current coverage.,barely-true,obamacare could cause million people lose current coverage
barely-true,"Children are crossing the border because President Barack Obama said if you come, youre going to be able to stay, because were not going to enforce the law.",barely-true,children crossing border president barack obama said come youre going able stay going enforce law
false,Says U.S. Rep. Tammy Baldwin is backing President Barack Obamas plan to pass a $1.5 trillion tax increase.,false,says us rep tammy baldwin backing president barack obamas plan pass trillion tax increase
mostly-true,"Over the past decade, the big five oil companies --- BP, Chevron, ConocoPhillips, ExxonMobil and Shell -- made a total profit of nearly $1 trillion.",mostly-true,past decade big five oil companies bp chevron conocophillips exxonmobil shell made total profit nearly trillion
half-true,"When Mitt Romney was governor, the fact is that the average income for a family in Massachusetts went up by $5,500.",half-true,mitt romney governor fact average income family massachusetts went
half-true,Twenty million Americans are out of work.,half-true,twenty million americans work
mostly-true,Net immigration from Mexico last year was zero. Fact-check me.,mostly-true,net immigration mexico last year zero factcheck
mostly-true,"The Republican plan for tax cuts is to give each millionaire -- the top 1 percent of income in this country -- $83,347 a year in tax cuts.",mostly-true,republican plan tax cuts give millionaire top percent income country year tax cuts
false,"A proposed revenue smart cap gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment.",false,proposed revenue smart cap gives floridians voice requiring percent vote citizens order impose new tax fee license fine charge assessment
barely-true,"Eighty-five percent of every dollar donated to the Clinton Foundation ended up either with the Clintons or with their staff to pay for travel, salaries, and benefits. Fifteen cents of every dollar actually went to some charitable beneficiary.",barely-true,eightyfive percent every dollar donated clinton foundation ended either clintons staff pay travel salaries benefits fifteen cents every dollar actually went charitable beneficiary
true,Fourteen million Americans mortgages are greater than the value of their homes.,true,fourteen million americans mortgages greater value homes
half-true,The U.S. Postal Service doesnt run on your tax dollars. Its funded solely by stamps and postage.,half-true,us postal service doesnt run tax dollars funded solely stamps postage
half-true,Cheney is disagreeing with President Bush's policy. President Bush stated repeatedly to international audiences and to the country that he wanted to close Guantanamo.,half-true,cheney disagreeing president bushs policy president bush stated repeatedly international audiences country wanted close guantanamo
half-true,Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet that would require links to opposing opinions.,half-true,barack obamas nominee regulatory czar advocated fairness doctrine internet would require links opposing opinions
true,"Weve created more than 850,000 jobs, more than all the other states combined.",true,weve created jobs states combined
half-true,There is no reason to allocate 60 percent of bridge space to satisfy two percent of all travelers.,half-true,reason allocate percent bridge space satisfy two percent travelers
pants-fire,A United Nations working group has adopted a proposed agenda to enable member nations to disarm civilians within their borders.,pants-fire,united nations working group adopted proposed agenda enable member nations disarm civilians within borders
barely-true,Says she balanced a $10 billion budget shortfall without raising taxes.,barely-true,says balanced billion budget shortfall without raising taxes
false,"If 20 million illegals vote, you can kiss the Second Amendment goodbye.",false,million illegals vote kiss second amendment goodbye
false,Planned Parenthood has now (been) found to also illegally sell baby parts.,false,planned parenthood found also illegally sell baby parts
true,Anyone can die of a toothache.,true,anyone die toothache
true,Says Jim Frishe wanted to tax us for doing our taxes through an accountant.,true,says jim frishe wanted tax us taxes accountant
mostly-true,"When Republicans last controlled the presidency and Congress, the number of people on food stamps (and) the number of people in low-income housing went through the roof.",mostly-true,republicans last controlled presidency congress number people food stamps number people lowincome housing went roof
barely-true,"This year, the Austin City Council granted a small homestead property tax exemption of $5,000... applied equally to everyone. And we also granted an exemption for the elderly and the disabled members of the community.",barely-true,year austin city council granted small homestead property tax exemption applied equally everyone also granted exemption elderly disabled members community
false,Perry pushed for a law that lets insurance companies raise homeowners rates without having to justify the increase.,false,perry pushed law lets insurance companies raise homeowners rates without justify increase
true,Jason Carter backed three of Nathan Deals budgets but accuses the governor of underfunding education.,true,jason carter backed three nathan deals budgets accuses governor underfunding education
barely-true,"Says President Obama was wrong about Muslims historical contributions to mankind, such as algebra (actually that was the ancient Babylonians), the compass (that was the Chinese), pens (the Chinese again) and medical discoveries.",barely-true,says president obama wrong muslims historical contributions mankind algebra actually ancient babylonians compass chinese pens chinese medical discoveries
half-true,"As a congressman, Mark Neumann voted four times to increase our debt.",half-true,congressman mark neumann voted four times increase debt
true,On oil drilling off Floridas coast,true,oil drilling floridas coast
half-true,"If parents ""don't have health insurance that Senator Obama wants them to have (for their children), they will be fined.""",half-true,parents dont health insurance senator obama wants children fined
pants-fire,The projected revenue from the Mayweather/Pacquiao fight is larger than the annual GDP of 29 different countries.,pants-fire,projected revenue mayweatherpacquiao fight larger annual gdp different countries
false,Says sixty-two percent of small businesses over the last five years went under because they couldnt pay their health care bills.,false,says sixtytwo percent small businesses last five years went couldnt pay health care bills
mostly-true,"Since (welfare reform) was signed into law, the number of families living in extreme poverty has more than doubled.",mostly-true,since welfare reform signed law number families living extreme poverty doubled
barely-true,"Theres a tax credit of $2,400 to bond [former inmates] that an employer would get for hiring a convicted felon. Theres a federal bonding program -- you can get $5,000 to $25,000 in federal money to hire a convicted felon. And theres federal grants for felons to set up their own small businesses.",barely-true,theres tax credit bond former inmates employer would get hiring convicted felon theres federal bonding program get federal money hire convicted felon theres federal grants felons set small businesses
false,Jesus was an undocumented immigrant.,false,jesus undocumented immigrant
false,On gay marriage,false,gay marriage
false,"Ann Kuster supports the government takeover of healthcare, which robs Medicare of over $700 billion.",false,ann kuster supports government takeover healthcare robs medicare billion
mostly-true,(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.,mostly-true,opportunity scholarship act would funded directly public school budgets would absolutely take money public school system transfer private religious schools
half-true,"While Rob Portman relies on his super PAC and a handful of billionaires to do his dirty work, we dont have a super PAC, and quite frankly, we dont want one that spends millions to spew out lies and distortions.",half-true,rob portman relies super pac handful billionaires dirty work dont super pac quite frankly dont want one spends millions spew lies distortions
barely-true,This (Ebola) is not as bad as SARSwas in 2003.,barely-true,ebola bad sarswas
pants-fire,"A couple of debates ago, (Donald Trump) said if you dont support socialized health care, youre heartless.",pants-fire,couple debates ago donald trump said dont support socialized health care youre heartless
false,Its four or five states where the number of insurance options have narrowed under the Affordable Care Act.,false,four five states number insurance options narrowed affordable care act
barely-true,"Ethanol reduced gas prices by 89 cents per gallon in 2010, and if ethanol disappeared, gas prices could rise by as much as 92 percent.",barely-true,ethanol reduced gas prices cents per gallon ethanol disappeared gas prices could rise much percent
mostly-true,"The sequester wont consider whether were cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesnt make those distinctions.",mostly-true,sequester wont consider whether cutting bloated program outlived usefulness vital service americans depend every single day doesnt make distinctions
pants-fire,Final election 2016 numbers: Trump won the popular vote.,pants-fire,final election numbers trump popular vote
half-true,Says opponents of proposed Austin school district bonds say the districts debt load doubles with these new bonds.,half-true,says opponents proposed austin school district bonds say districts debt load doubles new bonds
pants-fire,Says campaign contributions to her rival for a state House seat was money intended for schoolchildren.,pants-fire,says campaign contributions rival state house seat money intended schoolchildren
true,Says a 1915 referendum on womens right to vote went down in New Jersey. And it took the Legislature to pass it.,true,says referendum womens right vote went new jersey took legislature pass
false,Says U.S. House candidate Carlos Curbelo supported ending the Medicare guarantee.,false,says us house candidate carlos curbelo supported ending medicare guarantee
false,"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days after which it sat on the president's desk for three days, while he was away on vacation.""",false,obama administration successful rushing massive spending bill congress two days sat presidents desk three days away vacation
false,"In 1992, Barack Obama directed ""Project Vote - an arm of ACORN that also encouraged voter registration.""",false,barack obama directed project vote arm acorn also encouraged voter registration
half-true,"In this country, we have a 25 percent dropout rate.",half-true,country percent dropout rate
mostly-true,"In the last seven years of my tenure, Texas created 1.5 million new jobs. As a matter of fact, without Texas, America would have lost 400,000 jobs.",mostly-true,last seven years tenure texas created million new jobs matter fact without texas america would lost jobs
pants-fire,A report by the US General Accountability Office (GAO) in 2008 found that the disposal of Katrina wastes by AshBritt in the south resulted in the creation of contaminated sites along the Gulf Coast and two new Superfund sites in New Orleans.,pants-fire,report us general accountability office gao found disposal katrina wastes ashbritt south resulted creation contaminated sites along gulf coast two new superfund sites new orleans
half-true,"Every 20 seconds, a child dies because they lack access to clean water and sanitation.",half-true,every seconds child dies lack access clean water sanitation
true,"Fleeing Syria, a million children are now refugees.",true,fleeing syria million children refugees
half-true,"Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up, she said. Thats actually cheap when you compare us to the rest of the country.",half-true,right corrections department charges taxpayers year per person lock said thats actually cheap compare us rest country
barely-true,Says his Patient OPTION Act is the only Republican plan that completely repeals Obamacare and it takes the federal bureaucrat out of decisions for you.,barely-true,says patient option act republican plan completely repeals obamacare takes federal bureaucrat decisions
mostly-true,Says federal spending has increased 21 percent over the past three years.,mostly-true,says federal spending increased percent past three years
true,"If the government shuts down, all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.",true,government shuts military personnel continue serve accrue pay actually paid appropriations available
true,Rand Pauls speech ... on Gattaca was totally ripped off of Wikipedia.,true,rand pauls speech gattaca totally ripped wikipedia
mostly-true,More astronauts have been to the moon than farmers who paid the inheritance tax in 2013.,mostly-true,astronauts moon farmers paid inheritance tax
half-true,"Portland, Ore., has never gotten over 12 to 15 percent ridership of its public transit system in the past 12 years.",half-true,portland ore never gotten percent ridership public transit system past years
half-true,Solar and wind energy are both cheaper than nuclear right now.,half-true,solar wind energy cheaper nuclear right
half-true,Says New Jersey has the highest unemployment rate in the region and stagnant job growth.,half-true,says new jersey highest unemployment rate region stagnant job growth
mostly-true,Says Hillary Clinton wonhealth care for 8 million children.,mostly-true,says hillary clinton wonhealth care million children
pants-fire,Says abortion is the most common surgery in our country.,pants-fire,says abortion common surgery country
mostly-true,Income disparities in the United States are the worst since the 1920s.,mostly-true,income disparities united states worst since
barely-true,The stimulus bill promised to keep unemployment under 8%.,barely-true,stimulus bill promised keep unemployment
mostly-true,The University of Texas is starting the first medical school at a major Tier One university in the last 50 years.,mostly-true,university texas starting first medical school major tier one university last years
false,"None of the polls being conducted right now have us on the top line. None of them. Its always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, wed be at 20 percent.",false,none polls conducted right us top line none always trump clinton second question third question included top line johnsontrumpclinton wed percent
true,"98 percent of American families make under $250,000 a year.",true,percent american families make year
barely-true,"The Clinton Foundation gives less than 10(percent in direct aid). In 2013, they raised 140 million bucks, gave $9 million to people in direct aid.",barely-true,clinton foundation gives less percent direct aid raised million bucks gave million people direct aid
false,Sen. Barbara Boxer passed only three bills in 18 years into law.,false,sen barbara boxer passed three bills years law
mostly-true,State employees havent received a raise in five or six years.,mostly-true,state employees havent received raise five six years
mostly-true,Says more than eight countries lead the United States in the percentage of college graduates.,mostly-true,says eight countries lead united states percentage college graduates
half-true,"Since the passage of the Affordable Care Act, U.S. health care spending grew at 3.9 percent for the last three years, the lowest growth rate in over 50 years.",half-true,since passage affordable care act us health care spending grew percent last three years lowest growth rate years
half-true,Sanctuary cities such as Philadelphia refuse to cooperate with the federal government in locating suspected terrorists who are in their custody and are in the country illegally.,half-true,sanctuary cities philadelphia refuse cooperate federal government locating suspected terrorists custody country illegally
mostly-true,Georgia is one of only five states where breweries cant sell you a pint of beer to drink on premise or sell you a six-pack to go.,mostly-true,georgia one five states breweries cant sell pint beer drink premise sell sixpack go
false,"Under President Barack Obama, 8.3 (million) fewer Americans are working today than there were four years ago.",false,president barack obama million fewer americans working today four years ago
mostly-true,"Under Republicans, recessions happen four times as frequently as under Democrats.",mostly-true,republicans recessions happen four times frequently democrats
half-true,"Teenage births cost Texas taxpayers $1.1 billion in health care, foster careand lost tax revenue in 2010 alone.",half-true,teenage births cost texas taxpayers billion health care foster careand lost tax revenue alone
half-true,Says she made an accurate prediction that if Barack Obama were elected it would encourage Russia to invade Ukraine.,half-true,says made accurate prediction barack obama elected would encourage russia invade ukraine
barely-true,Today roughly half of born-again Christians arent voting. Theyre staying home.,barely-true,today roughly half bornagain christians arent voting theyre staying home
half-true,"Says Donald Trump, in his campaign announcement speech, also said, And many of them (Mexicans) are good people. You keep leaving that out of your quote.",half-true,says donald trump campaign announcement speech also said many mexicans good people keep leaving quote
half-true,Republican Bob Donovan has run as a Republican time and again.,half-true,republican bob donovan run republican time
false,Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.,false,hedge fund managers others private equity pay much lower tax rates income truck drivers teachers nurses
false,It still had not gotten terrible on the roads by 2 to 3 p.m. Tuesday.,false,still gotten terrible roads pm tuesday
barely-true,We came out against Deepwater and everybody is now paying for [the project] in their electric bills.,barely-true,came deepwater everybody paying project electric bills
barely-true,Americans admire Glenn Beck more than they admire the pope.,barely-true,americans admire glenn beck admire pope
half-true,"Due to over-incarceration in 1950, two out of three young black men were in the workforce. Today, its one out of three black men are in the workforce.",half-true,due overincarceration two three young black men workforce today one three black men workforce
true,Four (maybe five) Latinos have served on the Austin City Council.,true,four maybe five latinos served austin city council
false,"I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another.",false,person field amnesty every person field wants allow people illegally able stay one form another
mostly-true,"Says because of his actions, Wisconsin property taxes today are lower than they were four years ago.",mostly-true,says actions wisconsin property taxes today lower four years ago
true,Democratic candidate Jeff Greene ran for Congress as a California Republican.,true,democratic candidate jeff greene ran congress california republican
false,Says Gov. Rick Scotts approval ratings are up.,false,says gov rick scotts approval ratings
mostly-true,Says Obama administration delay of health care laws employer mandate affects about 1 percent of the American workforce.,mostly-true,says obama administration delay health care laws employer mandate affects percent american workforce
false,Says all my grandparents immigrated to America.,false,says grandparents immigrated america
barely-true,Said his mother had to fight with health insurance companies for treatment because of a pre-existing condition.,barely-true,said mother fight health insurance companies treatment preexisting condition
mostly-true,Says Jeb Bush oversaw (an) average in-state tuition increase of 48.2 percent during his tenure.,mostly-true,says jeb bush oversaw average instate tuition increase percent tenure
true,The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.,true,entire state florida led nation last year prison inmates committing tax fraud
mostly-true,"Mike Pence voted against expanding the Childrens Health Insurance program, which Hillary helped to start.",mostly-true,mike pence voted expanding childrens health insurance program hillary helped start
true,Most state employees could pay twice as much toward their health care premiums and it would still be half the national average,true,state employees could pay twice much toward health care premiums would still half national average
false,Mickey Mouse was registered to vote (in Florida).,false,mickey mouse registered vote florida
pants-fire,"Very, very, very few people get a pat-down when they go through airport security.",pants-fire,people get patdown go airport security
barely-true,"In September, the Department of Business and Consumer Services enacted a sudden 39% workers compensation premium assessment by rule with little notice to the public.",barely-true,september department business consumer services enacted sudden workers compensation premium assessment rule little notice public
mostly-true,"Giving the facts: 73,000 jobs created ... since 11. Do you know how many direct jobs in the auto industry? 1,800.",mostly-true,giving facts jobs created since know many direct jobs auto industry
barely-true,Says Hillary Clinton and Ralph Northam label police as racists.,barely-true,says hillary clinton ralph northam label police racists
true,Most Texans aren't millionaires.,true,texans arent millionaires
mostly-true,The town of Cumberland has its highest bond rating in history.,mostly-true,town cumberland highest bond rating history
half-true,"Since February 2009, our economy has lost roughly 3 million private sector jobs while the federal government has grown by more than 400,000 jobs.",half-true,since february economy lost roughly million private sector jobs federal government grown jobs
mostly-true,I've seen (life) from the factory floor when I was working the graveyard shift ...and I'd be ankle-deep in water at the Murray Ohio bicycle plant where I was running a machine that was so loud I couldn't hear myself yell if I wanted to.,mostly-true,ive seen life factory floor working graveyard shift id ankledeep water murray ohio bicycle plant running machine loud couldnt hear yell wanted
barely-true,Says Dwight Holton has never set foot in an Oregon courtroom.,barely-true,says dwight holton never set foot oregon courtroom
half-true,State Medicaid expansion will save our treasury $1 billion over the next eight years.,half-true,state medicaid expansion save treasury billion next eight years
pants-fire,"The U.S. unemployment rate has been massaged, its been doctored.",pants-fire,us unemployment rate massaged doctored
true,"If you printed a $1 bill for the entirety of the $14.1 trillion national debt, the resulting pile of money would weigh more than 136 aircraft carriers.",true,printed bill entirety trillion national debt resulting pile money would weigh aircraft carriers
mostly-true,Eighty out of 82 counties in Ohio ... have an auto manufacturing facility.,mostly-true,eighty counties ohio auto manufacturing facility
false,"Under Scott Walker, the Wisconsin middle class is shrinking at a faster rate than any other state in the country.",false,scott walker wisconsin middle class shrinking faster rate state country
half-true,"What we have done with the PATRIOT Act, weve given the government enormous powers. Weve given the government the right to reach deeply into peoples private lives, into their business affairs, without a court order.",half-true,done patriot act weve given government enormous powers weve given government right reach deeply peoples private lives business affairs without court order
mostly-true,"One in five women in the military are receiving unwanted sexual contact, as are 3.3 percent of men.",mostly-true,one five women military receiving unwanted sexual contact percent men
true,Virginia spends less per student today than we did in 2008.,true,virginia spends less per student today
false,The economic impact of Atlantas 2000 Super Bowl was $292 million.,false,economic impact atlantas super bowl million
half-true,Do you know those former Soviet Bloc countries have all moved to flat taxes?,half-true,know former soviet bloc countries moved flat taxes
true,"More people hunt and fish in Texas in a given year than attend the... games of the Dallas Cowboys, the Dallas Mavericks, the Houston Texans and the Houston Rockets combined.",true,people hunt fish texas given year attend games dallas cowboys dallas mavericks houston texans houston rockets combined
half-true,Georgia legislation on immigration is a copycat of an Arizona immigration bill.,half-true,georgia legislation immigration copycat arizona immigration bill
barely-true,A New York imam wants tohave a mosque at Ground Zero.,barely-true,new york imam wants tohave mosque ground zero
false,One of the other inaccuracies ...is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since Ive been in office. It was a quarter mill tax in the unincorporated area only.,false,one inaccuracies raised taxes multiple times run budget absolutely true one tax increase since ive office quarter mill tax unincorporated area
barely-true,Some billionaires have a tax rate as low as 1 percent.,barely-true,billionaires tax rate low percent
false,"The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state.",false,profit automated traffic enforcement cameras going private corporations city state
mostly-true,Our unemployment rate is now lower than it was before the financial crisis.,mostly-true,unemployment rate lower financial crisis
barely-true,"It is estimated that every $100 million spent on construction generates 3,000 new jobs.",barely-true,estimated every million spent construction generates new jobs
mostly-true,We have the highest corporate income tax in the world right now.,mostly-true,highest corporate income tax world right
mostly-true,"I used tax cuts to help create over 80,000 jobs in New Mexico.",mostly-true,used tax cuts help create jobs new mexico
barely-true,Says Scott Walker tried to pass a law to allow pharmacists to block womens access to birth control.,barely-true,says scott walker tried pass law allow pharmacists block womens access birth control
mostly-true,The only time over the last 25 years when the states unemployment rate exceeded the U.S. average was when (Mary) Burke was commerce secretary.,mostly-true,time last years states unemployment rate exceeded us average mary burke commerce secretary
false,Were broke. We dont have any more money.,false,broke dont money
true,"Again today (Ahmadinejad) made light of 9/11, and said that he's not even sure it happened and that people actually died.",true,today ahmadinejad made light said hes even sure happened people actually died
barely-true,Says direct shipment of wine makes underage drinking as simple as a mouse click.,barely-true,says direct shipment wine makes underage drinking simple mouse click
barely-true,"Under Barack Obama the last two years, the number of federal limousines for bureaucrats has increased 73 percent.",barely-true,barack obama last two years number federal limousines bureaucrats increased percent
barely-true,"Obama has been sending taxpayer dollars, at least $350,000 to fund anti-Likud, anti-Netanyahu groups in Israelfor (the) election.",barely-true,obama sending taxpayer dollars least fund antilikud antinetanyahu groups israelfor election
false,When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.,false,us attorney wound putting percent state legislature jail seven years
mostly-true,Sixty percent of Americans now support legalizing marijuana.,mostly-true,sixty percent americans support legalizing marijuana
true,"Since being elected in 2002, Scott Walker has given back over $370,000 of his salary to the county.",true,since elected scott walker given back salary county
mostly-true,"Florida ""has the second-highest foreclosure rate in the nation.""",mostly-true,florida secondhighest foreclosure rate nation
true,"The religious liberty bill proposed in the Georgia House of Representatives does not specifically exclude corporations, which means they can legally claim a religious exemption.",true,religious liberty bill proposed georgia house representatives specifically exclude corporations means legally claim religious exemption
mostly-true,"Says Saudi Arabia, a U.S. ally, has paid to export throughout the world Wahhabism -- an extreme form of Islam that basically teaches Americans are the devil.",mostly-true,says saudi arabia us ally paid export throughout world wahhabism extreme form islam basically teaches americans devil
mostly-true,Bill Clinton presided over the biggest expansion of the American economy since World War II.,mostly-true,bill clinton presided biggest expansion american economy since world war ii
barely-true,"When they passed Obamacare, they put a bailout fund in Obamacare. We led the effort and wiped out that bailout fund.",barely-true,passed obamacare put bailout fund obamacare led effort wiped bailout fund
false,David Dewhurst has never once cut one penny from the state budget.,false,david dewhurst never cut one penny state budget
pants-fire,Wisconsin Gov. Scott Walkers move to limit collective bargaining rights has led to riots at the Capitol -- Its like Cairo has moved to Madison these days.,pants-fire,wisconsin gov scott walkers move limit collective bargaining rights led riots capitol like cairo moved madison days
mostly-true,An amendment inserted by lawmakers into the state budget exempts scientific researchers from all state animal cruelty laws.,mostly-true,amendment inserted lawmakers state budget exempts scientific researchers state animal cruelty laws
half-true,Its illegal for a state to say were simply going to cut off (union contract) negotiations. Theres a legal requirement that you are involved in good faith bargaining.,half-true,illegal state say simply going cut union contract negotiations theres legal requirement involved good faith bargaining
true,In Rhode Island there are 150 different pension plans for public workers.,true,rhode island different pension plans public workers
mostly-true,Dave Brat worked on Democrat Gov. Tim Kaines Council of Economic Advisors while Kaine tried to raise our taxes by over $1 billion.,mostly-true,dave brat worked democrat gov tim kaines council economic advisors kaine tried raise taxes billion
